latitude,longitude,district,district,neighborhood,neighborhood
36.7260464,-4.3928593,Este,ESTE,Parque Clavero,PARQUE CLAVERO                
36.7031765,-4.4385552,Carretera de Cádiz,CARRETERA DE CADIZ,Huelin,HUELIN                        
36.7315297,-4.4146206,Centro,CENTRO,Olletas - Sierra Blanquilla,OLLETAS                       
36.721393,-4.4051249,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.7206946,-4.4214756,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7115025,-4.4381701,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,CRUZ DEL HUMILLADERO          
36.6932836,-4.4462397,Carretera de Cádiz,CARRETERA DE CADIZ,Los Guindos - Parque Mediterráneo - Santa Paula,PARQUE MEDITERRANEO           
36.72735,-4.4094305,Centro,CENTRO,Gibralfaro,CONDE DE UREÑA                
36.7231101,-4.4229275,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7168609,-4.433021,Centro,CRUZ DE HUMILLADERO,Perchel sur - El Bulto,POL ALAMEDA                   
36.7199696,-4.4201995,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7301401,-4.4043185,Este,ESTE,Limonar,LOS PINOS                     
36.7275136,-4.3906722,Este,ESTE,Parque Clavero,PARQUE CLAVERO                
36.7410654,-4.4765185,Puerto de la Torre,PUERTO DE LA TORRE,Fuente Alegre - El Chaparral - Los Morales,LOS MORALES 1                 
36.7225692,-4.4064818,Este,CENTRO,Malagueta - Monte Sancha,CAÑADA DE LOS INGLESES        
36.7287114,-4.4285266,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7266977,-4.4160612,Centro,CENTRO,Cristo de la Epidemia,EL EJIDO                      
36.7207543,-4.4082164,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.727358,-4.4004099,Este,ESTE,Limonar,LAS PALMERAS                  
36.7311579,-4.4275636,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7245914,-4.371706,Este,ESTE,Pedregalejo - Morlaco,VALLE DE LOS GALANES          
36.7117476,-4.425652,Centro,CENTRO,Ensanche Centro - Soho,ENSANCHE CENTRO               
36.7271383,-4.4851191,Teatinos,PUERTO DE LA TORRE,El Consul - El Romeral,HACIENDA ALTAMIRA             
36.7257192,-4.4239796,Centro,CENTRO,La Goleta - San Felipe Neri,LA GOLETA                     
36.7263135,-4.4195323,Centro,CENTRO,La Merced,EL EJIDO                      
