propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
108046139,1500,€/mes,flat,rent,95.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel norte,36.7214747,-4.4302728,good,False,16.0,3,1.0,False
106524431,1000,€/mes,flat,rent,30.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7202186,-4.4223244,good,False,33.0,4,1.0,False
96624123,1200,€/mes,flat,rent,100.0,3.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7227008,-4.4314466,good,False,12.0,2,1.0,False
89268889,2000,€/mes,flat,rent,140.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.724211,-4.4177122,good,False,14.0,2,0.0,False
108039878,1300,€/mes,flat,rent,75.0,2.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7296432,-4.4156045,good,False,17.0,3,1.0,False
108074434,800,€/mes,flat,rent,40.0,1.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7264046,-4.4251835,good,False,20.0,1,1.0,False
105553583,1900,€/mes,flat,rent,105.0,3.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7137462,-4.4297598,good,False,18.0,5,1.0,False
107698680,1900,€/mes,penthouse,rent,133.0,3.0,1.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.714396,-4.4251783,good,False,14.0,7,1.0,True
107997424,1800,€/mes,flat,rent,92.0,3.0,2.0,Málaga,Málaga,Puerto de la Torre,es,Puertosol - Santa Isabel,36.7367986,-4.4908761,good,False,20.0,bj,1.0,True
96074675,1500,€/mes,flat,rent,105.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7231429,-4.4047734,good,False,14.0,1,0.0,True
107793884,1250,€/mes,flat,rent,70.0,2.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Puerta Blanca - Almudena,36.6841651,-4.4515037,good,False,18.0,1,1.0,False
101067554,1350,€/mes,flat,rent,100.0,3.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7107638,-4.4307721,good,False,14.0,1,1.0,False
106016834,1400,€/mes,flat,rent,50.0,1.0,1.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7152894,-4.4124919,good,False,28.0,12,1.0,False
107472755,2400,€/mes,flat,rent,115.0,3.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7132555,-4.422526,good,False,21.0,3,1.0,False
29008219,1200,€/mes,flat,rent,85.0,3.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Polígonos - Recinto Ferial,36.7092993,-4.4898944,good,False,14.0,1,0.0,True
105532894,1200,€/mes,flat,rent,100.0,4.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7236365,-4.4331265,good,False,12.0,1,0.0,False
108044440,1300,€/mes,flat,rent,80.0,2.0,1.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.7240868,-4.4827926,good,False,16.0,3,1.0,True
107992918,1000,€/mes,flat,rent,49.0,1.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7208929,-4.441973,good,False,20.0,5,1.0,False
107982539,1600,€/mes,flat,rent,90.0,3.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.70855,-4.432787,good,False,18.0,5,1.0,True
107975437,1250,€/mes,flat,rent,78.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,La Princesa,36.70594,-4.4363898,good,False,16.0,5,1.0,False
106783304,1200,€/mes,flat,rent,70.0,2.0,1.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7238007,-4.4208605,good,False,17.0,1,0.0,False
106043090,1500,€/mes,flat,rent,70.0,3.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.719443,-4.4387734,good,False,21.0,2,0.0,False
107993033,1190,€/mes,flat,rent,60.0,2.0,1.0,Málaga,Málaga,Centro,es,La Merced,36.7238487,-4.4199689,good,False,20.0,en,0.0,False
104820319,1200,€/mes,flat,rent,60.0,2.0,1.0,Málaga,Málaga,Centro,es,La Victoria,36.7240108,-4.4128312,good,False,20.0,1,1.0,False
107870379,1200,€/mes,flat,rent,70.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.723312,-4.4194047,good,False,17.0,1,1.0,False
108004168,1100,€/mes,flat,rent,82.0,2.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,Victoria Eugenia,36.7293789,-4.4359482,good,False,13.0,1,1.0,True
