price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1500,1,1,95.0,2.0,2.0,0,2,22,36.7214747,-4.4302728,0,0,16.0,3.0,1.0,0,0
1000,1,1,30.0,1.0,1.0,0,2,4,36.7202186,-4.4223244,0,0,33.0,4.0,1.0,0,0
1200,1,1,100.0,3.0,1.0,0,2,32,36.7227008,-4.4314466,0,0,12.0,2.0,1.0,0,0
2000,1,1,140.0,3.0,2.0,0,2,4,36.724211,-4.4177122,0,0,14.0,2.0,0.0,0,0
1300,1,1,75.0,2.0,1.0,0,2,12,36.7296432,-4.4156045,0,0,17.0,3.0,1.0,0,0
800,1,1,40.0,1.0,1.0,0,2,32,36.7264046,-4.4251835,0,0,20.0,1.0,1.0,0,0
1900,1,1,105.0,3.0,2.0,0,2,8,36.7137462,-4.4297598,0,0,18.0,5.0,1.0,0,0
1900,2,1,133.0,3.0,1.0,0,2,14,36.714396,-4.4251783,0,0,14.0,7.0,1.0,1,0
1800,1,1,92.0,3.0,2.0,0,4,29,36.7367986,-4.4908761,0,0,20.0,0.0,1.0,1,1
1500,1,1,105.0,3.0,2.0,0,0,3,36.7231429,-4.4047734,0,0,14.0,1.0,0.0,1,1
1250,1,1,70.0,2.0,1.0,0,1,38,36.6841651,-4.4515037,0,0,18.0,1.0,1.0,0,0
1350,1,1,100.0,3.0,2.0,0,2,8,36.7107638,-4.4307721,0,0,14.0,1.0,1.0,0,0
1400,1,1,50.0,1.0,1.0,0,0,3,36.7152894,-4.4124919,0,0,28.0,12.0,1.0,0,0
2400,1,1,115.0,3.0,2.0,0,2,14,36.7132555,-4.422526,0,0,21.0,3.0,1.0,0,0
1200,1,1,85.0,3.0,2.0,0,3,33,36.7092993,-4.4898944,0,0,14.0,1.0,0.0,1,1
1200,1,1,100.0,4.0,1.0,0,2,32,36.7236365,-4.4331265,0,0,12.0,1.0,0.0,0,0
1300,1,1,80.0,2.0,1.0,0,6,15,36.7240868,-4.4827926,0,0,16.0,3.0,1.0,1,1
1000,1,1,49.0,1.0,1.0,0,3,20,36.7208929,-4.441973,0,0,20.0,5.0,1.0,0,0
1600,1,1,90.0,3.0,2.0,0,2,8,36.70855,-4.432787,0,0,18.0,5.0,1.0,1,1
1250,1,1,78.0,2.0,2.0,0,1,53,36.70594,-4.4363898,0,0,16.0,5.0,1.0,0,0
1200,1,1,70.0,2.0,1.0,0,2,16,36.7238007,-4.4208605,0,0,17.0,1.0,0.0,0,0
1500,1,1,70.0,3.0,1.0,0,3,20,36.719443,-4.4387734,0,0,21.0,2.0,0.0,0,0
1190,1,1,60.0,2.0,1.0,0,2,17,36.7238487,-4.4199689,0,0,20.0,1.5,0.0,0,0
1200,1,1,60.0,2.0,1.0,0,2,23,36.7240108,-4.4128312,0,0,20.0,1.0,1.0,0,0
1200,1,1,70.0,2.0,1.0,0,2,4,36.723312,-4.4194047,0,0,17.0,1.0,1.0,0,0
1100,1,1,82.0,2.0,2.0,0,7,41,36.7293789,-4.4359482,0,0,13.0,1.0,1.0,1,1
1400,1,1,100.0,3.0,2.0,0,1,54,36.6839526,-4.4535382,0,0,14.0,5.0,1.0,1,1
1200,1,1,117.0,2.0,2.0,0,2,22,36.7206472,-4.4315706,0,0,10.0,6.0,1.0,1,1
900,2,1,90.0,1.0,1.0,0,2,8,36.7166406,-4.426262,0,0,10.0,6.0,1.0,0,0
2300,1,1,151.0,3.0,2.0,0,2,14,36.7168862,-4.4234492,0,0,15.0,6.0,1.0,1,1
1800,3,1,31.0,0.0,1.0,0,2,4,36.722657,-4.4213505,0,0,58.0,0.0,0.0,0,0
1600,1,1,80.0,3.0,1.0,0,7,41,36.7307562,-4.4413514,0,0,20.0,11.0,0.0,0,0
950,1,1,72.0,3.0,1.0,0,1,42,36.6985499,-4.4419718,0,0,13.0,1.0,0.0,0,0
1500,1,1,80.0,2.0,1.0,0,2,4,36.7202152,-4.4169137,0,0,19.0,2.0,1.0,0,0
2000,1,1,126.0,2.0,2.0,0,2,4,36.7202522,-4.4210491,0,0,16.0,5.0,1.0,0,0
1500,1,1,90.0,3.0,2.0,0,2,22,36.7186155,-4.4304224,0,0,17.0,4.0,1.0,0,0
1100,1,1,81.0,2.0,2.0,0,2,22,36.7189969,-4.4309092,0,0,14.0,2.0,1.0,0,0
1300,0,1,143.0,4.0,2.0,0,7,18,36.7293281,-4.4514374,0,0,9.0,0.0,0.0,0,0
1250,1,1,78.0,2.0,2.0,0,1,1,36.7060096,-4.4377969,0,0,16.0,5.0,1.0,0,0
1200,1,1,95.0,3.0,1.0,0,1,34,36.6963085,-4.4526127,0,0,13.0,6.0,1.0,0,0
1200,1,1,68.0,3.0,1.0,0,1,6,36.6962355,-4.4495801,0,0,18.0,5.0,1.0,0,0
1260,1,1,95.0,3.0,2.0,0,3,20,36.7203579,-4.4450263,0,0,13.0,6.0,1.0,1,1
900,1,1,53.0,1.0,1.0,0,0,13,36.7218224,-4.378737,0,0,17.0,1.0,1.0,0,0
1850,1,1,83.0,3.0,2.0,0,5,11,36.7306187,-4.4286936,0,0,22.0,19.0,1.0,1,1
1500,4,1,54.0,1.0,1.0,0,2,16,36.7258386,-4.4235303,0,0,28.0,2.0,0.0,0,0
1900,1,1,85.0,2.0,2.0,0,2,32,36.7285218,-4.4301589,0,0,22.0,27.0,1.0,1,1
3300,1,1,120.0,1.0,2.0,0,1,19,36.6851392,-4.4462154,2,1,28.0,4.0,1.0,1,1
1150,1,1,67.0,2.0,1.0,0,7,25,36.721496,-4.4351365,0,0,17.0,3.0,1.0,1,1
2300,4,1,35.0,2.0,1.0,0,0,13,36.7223739,-4.3797799,0,0,66.0,2.0,1.0,0,0
1400,1,1,78.0,2.0,2.0,0,1,19,36.6995167,-4.4393658,0,0,18.0,4.0,1.0,1,1
