propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
107634575,985000,€,chalet,sale,245.0,4.0,3.0,Málaga,Málaga,Este,es,Parque Clavero,36.7260464,-4.3928593,good,False,4020.0,0,0.0,True
106393537,265000,€,flat,sale,66.0,2.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Huelin,36.7031765,-4.4385552,good,False,4015.0,8,1.0,False
106281335,275000,€,flat,sale,82.0,2.0,2.0,Málaga,Málaga,Centro,es,Olletas - Sierra Blanquilla,36.7315297,-4.4146206,good,False,3354.0,1,1.0,False
107840913,1600000,€,flat,sale,174.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.721393,-4.4051249,good,False,9195.0,1,1.0,True
97484253,550000,€,flat,sale,143.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7206946,-4.4214756,good,False,3846.0,3,0.0,False
107293953,339900,€,flat,sale,120.0,5.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Cruz del Humilladero - Los Tilos,36.7115025,-4.4381701,good,False,2833.0,7,1.0,False
106468846,350000,€,flat,sale,91.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Los Guindos - Parque Mediterráneo - Santa Paula,36.6932836,-4.4462397,good,False,3846.0,2,1.0,False
103182800,545000,€,flat,sale,145.0,5.0,2.0,Málaga,Málaga,Centro,es,Gibralfaro,36.72735,-4.4094305,good,False,3759.0,8,1.0,False
105425835,550000,€,flat,sale,143.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7231101,-4.4229275,good,False,3846.0,3,0.0,False
106149840,950000,€,penthouse,sale,200.0,3.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7168609,-4.433021,good,False,4750.0,4,1.0,True
107170417,890000,€,flat,sale,145.0,3.0,3.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7199696,-4.4201995,good,False,6138.0,1,1.0,False
108041928,1200000,€,flat,sale,221.0,5.0,2.0,Málaga,Málaga,Este,es,Limonar,36.7301401,-4.4043185,good,False,5430.0,2,1.0,True
105727524,869500,€,chalet,sale,283.0,6.0,4.0,Málaga,Málaga,Este,es,Parque Clavero,36.7275136,-4.3906722,good,False,3072.0,0,0.0,True
106219612,398000,€,chalet,sale,240.0,5.0,2.0,Málaga,Málaga,Puerto de la Torre,es,Fuente Alegre - El Chaparral - Los Morales,36.7410654,-4.4765185,good,False,1658.0,0,0.0,True
107077467,1287000,€,chalet,sale,280.0,6.0,4.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7225692,-4.4064818,good,False,4596.0,0,0.0,True
106979987,538000,€,flat,sale,88.0,3.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7287114,-4.4285266,good,False,6114.0,0,1.0,False
106979867,290000,€,flat,sale,99.0,2.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7266977,-4.4160612,good,False,2929.0,bj,1.0,False
107639268,650000,€,flat,sale,120.0,4.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7207543,-4.4082164,good,False,5417.0,1,1.0,False
106849379,1800000,€,chalet,sale,407.0,7.0,5.0,Málaga,Málaga,Este,es,Limonar,36.727358,-4.4004099,good,False,4423.0,0,0.0,True
107141527,435000,€,flat,sale,86.0,2.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7311579,-4.4275636,good,False,5058.0,26,1.0,True
107269851,1065000,€,chalet,sale,181.0,6.0,2.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7245914,-4.371706,good,False,5884.0,0,0.0,True
104879429,526000,€,flat,sale,145.0,5.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7117476,-4.425652,renew,False,3628.0,6,1.0,False
107269873,690000,€,flat,sale,236.0,4.0,2.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.7271383,-4.4851191,good,False,2924.0,1,1.0,True
107131940,345000,€,flat,sale,54.0,2.0,1.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7257192,-4.4239796,good,False,6389.0,2,0.0,False
107086928,449000,€,flat,sale,84.0,2.0,2.0,Málaga,Málaga,Centro,es,La Merced,36.7263135,-4.4195323,good,False,5345.0,1,1.0,True
107575324,780000,€,chalet,sale,184.0,5.0,3.0,Málaga,Málaga,Este,es,Limonar,36.7244378,-4.4017057,good,False,4239.0,0,0.0,True
104254122,390000,€,chalet,sale,175.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Huelin,36.7047936,-4.4400262,good,False,2229.0,0,0.0,False
106573439,195000,€,flat,sale,106.0,3.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,San Alberto - La Alcubilla - Florisol,36.7294989,-4.4493492,good,False,1840.0,1,1.0,False
106573387,165000,€,flat,sale,80.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,San Alberto - La Alcubilla - Florisol,36.731472,-4.4506116,good,False,2063.0,bj,1.0,False
105725591,550000,€,flat,sale,140.0,4.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7193644,-4.4259831,renew,False,3929.0,4,1.0,False
107334375,690000,€,flat,sale,130.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7186415,-4.4114562,renew,False,5308.0,9,1.0,False
107228551,1140000,€,flat,sale,128.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6927148,-4.4390056,good,False,8906.0,6,1.0,False
106363119,880000,€,chalet,sale,295.0,5.0,2.0,Málaga,Málaga,Centro,es,Gibralfaro,36.7242168,-4.4069744,renew,False,2983.0,0,0.0,True
103819408,825000,€,flat,sale,124.0,2.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7209656,-4.409758,good,False,6653.0,9,1.0,False
107702979,390000,€,flat,sale,155.0,3.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7163467,-4.439789,good,False,2516.0,5,1.0,True
103704242,999000,€,flat,sale,105.0,3.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7211486,-4.4188128,good,False,9514.0,3,1.0,False
107914671,2500000,€,chalet,sale,510.0,5.0,4.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7274769,-4.3867176,good,False,4902.0,0,0.0,True
