price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
985000,3,1,245.0,4.0,3.0,0,2,47,36.7260464,-4.3928593,0,0,4020.0,0.0,0.0,1,1
265000,0,1,66.0,2.0,1.0,0,3,20,36.7031765,-4.4385552,0,0,4015.0,8.0,1.0,0,0
275000,0,1,82.0,2.0,2.0,0,0,39,36.7315297,-4.4146206,0,0,3354.0,1.0,1.0,0,0
1600000,0,1,174.0,3.0,2.0,0,2,7,36.721393,-4.4051249,0,0,9195.0,1.0,1.0,1,1
550000,0,1,143.0,3.0,2.0,0,0,1,36.7206946,-4.4214756,0,0,3846.0,3.0,0.0,0,0
339900,0,1,120.0,5.0,1.0,0,4,36,36.7115025,-4.4381701,0,0,2833.0,7.0,1.0,0,0
350000,0,1,91.0,3.0,2.0,0,3,22,36.6932836,-4.4462397,0,0,3846.0,2.0,1.0,0,0
545000,0,1,145.0,5.0,2.0,0,0,56,36.72735,-4.4094305,0,0,3759.0,8.0,1.0,0,0
550000,0,1,143.0,3.0,2.0,0,0,1,36.7231101,-4.4229275,0,0,3846.0,3.0,0.0,0,0
950000,1,1,200.0,3.0,2.0,0,0,4,36.7168609,-4.433021,0,0,4750.0,4.0,1.0,1,1
890000,0,1,145.0,3.0,3.0,0,0,1,36.7199696,-4.4201995,0,0,6138.0,1.0,1.0,0,0
1200000,0,1,221.0,5.0,2.0,0,2,32,36.7301401,-4.4043185,0,0,5430.0,2.0,1.0,1,1
869500,3,1,283.0,6.0,4.0,0,2,47,36.7275136,-4.3906722,0,0,3072.0,0.0,0.0,1,1
398000,3,1,240.0,5.0,2.0,0,1,49,36.7410654,-4.4765185,0,0,1658.0,0.0,0.0,1,1
1287000,3,1,280.0,6.0,4.0,0,2,7,36.7225692,-4.4064818,0,0,4596.0,0.0,0.0,1,1
538000,0,1,88.0,3.0,2.0,0,7,24,36.7287114,-4.4285266,0,0,6114.0,0.0,1.0,0,0
290000,0,1,99.0,2.0,1.0,0,0,3,36.7266977,-4.4160612,0,0,2929.0,0.0,1.0,0,0
650000,0,1,120.0,4.0,2.0,0,2,7,36.7207543,-4.4082164,0,0,5417.0,1.0,1.0,0,0
1800000,3,1,407.0,7.0,5.0,0,2,32,36.727358,-4.4004099,0,0,4423.0,0.0,0.0,1,1
435000,0,1,86.0,2.0,2.0,0,7,24,36.7311579,-4.4275636,0,0,5058.0,26.0,1.0,1,1
1065000,3,1,181.0,6.0,2.0,0,2,23,36.7245914,-4.371706,0,0,5884.0,0.0,0.0,1,1
526000,0,1,145.0,5.0,2.0,0,0,5,36.7117476,-4.425652,2,0,3628.0,6.0,1.0,0,0
690000,0,1,236.0,4.0,2.0,0,5,10,36.7271383,-4.4851191,0,0,2924.0,1.0,1.0,1,1
345000,0,1,54.0,2.0,1.0,0,0,13,36.7257192,-4.4239796,0,0,6389.0,2.0,0.0,0,0
449000,0,1,84.0,2.0,2.0,0,0,14,36.7263135,-4.4195323,0,0,5345.0,1.0,1.0,1,0
780000,3,1,184.0,5.0,3.0,0,2,32,36.7244378,-4.4017057,0,0,4239.0,0.0,0.0,1,1
390000,3,1,175.0,3.0,2.0,0,3,20,36.7047936,-4.4400262,0,0,2229.0,0.0,0.0,0,0
195000,0,1,106.0,3.0,2.0,0,6,19,36.7294989,-4.4493492,0,0,1840.0,1.0,1.0,0,0
165000,0,1,80.0,2.0,1.0,0,6,19,36.731472,-4.4506116,0,0,2063.0,0.0,1.0,0,0
550000,0,1,140.0,4.0,2.0,0,0,1,36.7193644,-4.4259831,2,0,3929.0,4.0,1.0,0,0
690000,0,1,130.0,3.0,2.0,0,2,7,36.7186415,-4.4114562,2,0,5308.0,9.0,1.0,0,0
1140000,0,1,128.0,3.0,2.0,0,3,25,36.6927148,-4.4390056,0,0,8906.0,6.0,1.0,0,0
880000,3,1,295.0,5.0,2.0,0,0,56,36.7242168,-4.4069744,2,0,2983.0,0.0,0.0,1,1
825000,0,1,124.0,2.0,2.0,0,2,7,36.7209656,-4.409758,0,0,6653.0,9.0,1.0,0,0
390000,0,1,155.0,3.0,2.0,0,4,11,36.7163467,-4.439789,0,0,2516.0,5.0,1.0,1,1
999000,0,1,105.0,3.0,1.0,0,0,1,36.7211486,-4.4188128,0,0,9514.0,3.0,1.0,0,0
220000,0,1,48.0,1.0,1.0,0,0,0,36.7177848,-4.4313833,0,0,4583.0,0.0,1.0,0,0
589000,1,1,131.0,3.0,2.0,0,0,15,36.7286086,-4.4146778,0,0,4496.0,2.0,0.0,0,0
695000,0,1,180.0,5.0,2.0,0,0,56,36.7273111,-4.4125385,0,0,3861.0,7.0,1.0,0,0
830000,3,1,310.0,4.0,2.0,0,0,39,36.741856,-4.4117787,0,0,2677.0,0.0,0.0,1,1
215000,0,1,62.0,2.0,1.0,0,6,44,36.7280091,-4.4410106,0,0,3468.0,1.0,1.0,0,0
1700000,0,1,279.0,5.0,4.0,0,2,7,36.7192493,-4.4078989,2,0,6093.0,10.0,1.0,1,1
670000,0,1,84.0,1.0,2.0,0,3,25,36.6872198,-4.4457152,0,0,7976.0,7.0,1.0,1,1
312000,0,1,88.0,3.0,2.0,0,6,26,36.7247278,-4.4341112,0,0,3545.0,2.0,1.0,1,1
1700000,3,1,440.0,5.0,4.0,0,2,27,36.7259785,-4.3827008,0,0,3864.0,0.0,0.0,1,1
1150000,0,1,195.0,4.0,2.0,0,2,23,36.7235312,-4.3810976,0,0,5897.0,1.0,1.0,1,1
1320000,3,1,350.0,6.0,4.0,0,2,29,36.7274842,-4.351947,0,0,3771.0,0.0,0.0,1,1
615000,0,1,89.0,2.0,2.0,0,2,32,36.7302888,-4.400661,0,0,6910.0,1.0,1.0,1,1
550000,0,1,147.0,3.0,2.0,0,0,0,36.7184898,-4.4341705,2,0,3741.0,7.0,1.0,0,0
369000,0,1,117.0,3.0,1.0,0,0,13,36.7266174,-4.4229146,0,0,3154.0,4.0,1.0,1,1
159000,0,1,48.0,2.0,1.0,0,4,11,36.7159726,-4.4453412,0,0,3313.0,1.0,0.0,0,0
345000,0,1,84.0,2.0,1.0,0,0,1,36.7229139,-4.4201835,0,0,4107.0,0.0,0.0,0,0
890000,3,1,361.0,7.0,2.0,0,2,173,36.7193509,-4.3466905,2,0,2465.0,0.0,0.0,1,1
1550000,0,1,176.0,2.0,2.0,0,3,25,36.6851392,-4.4462154,1,1,8807.0,5.0,1.0,1,1
629000,0,1,147.0,4.0,2.0,0,0,4,36.7153694,-4.4271629,0,0,4279.0,2.0,1.0,1,1
1049000,3,1,300.0,4.0,4.0,0,2,23,36.720841,-4.3686826,0,0,3497.0,0.0,0.0,1,1
330000,3,1,156.0,3.0,1.0,0,7,24,36.7298561,-4.4359127,0,0,2115.0,0.0,0.0,0,0
480000,0,1,115.0,4.0,2.0,0,0,0,36.7179557,-4.4283594,0,0,4174.0,4.0,1.0,0,0
886000,3,1,461.0,5.0,3.0,0,9,46,36.6657624,-4.4610986,2,0,1922.0,0.0,0.0,1,1
129950,2,1,37.0,0.0,1.0,0,6,26,36.7253737,-4.4331624,0,0,3512.0,0.0,0.0,0,0
429950,0,1,108.0,3.0,2.0,0,1,6,36.739261,-4.4931136,0,0,3981.0,2.0,1.0,1,1
800000,0,1,269.0,5.0,3.0,0,2,32,36.7216594,-4.3914349,2,0,2974.0,1.0,1.0,1,1
289000,0,1,90.0,2.0,2.0,0,0,33,36.7319633,-4.4237267,0,0,3211.0,1.0,1.0,0,0
204000,0,1,49.0,2.0,1.0,0,6,44,36.7264301,-4.4418522,0,0,4163.0,5.0,1.0,0,0
180000,0,1,83.0,3.0,1.0,0,0,45,36.7299537,-4.4110862,0,0,2169.0,4.0,0.0,0,0
466000,0,1,61.0,1.0,1.0,0,3,25,36.681168,-4.4505815,1,1,7639.0,0.0,1.0,1,1
214600,4,1,68.0,2.0,2.0,0,0,2,36.7230571,-4.4306824,0,0,3156.0,1.0,1.0,0,0
311000,0,1,92.0,2.0,2.0,0,4,9,36.70739,-4.4876877,1,1,3380.0,2.0,1.0,1,1
347000,0,1,92.0,2.0,2.0,0,4,9,36.70739,-4.4876877,1,1,3772.0,4.0,1.0,1,1
333000,0,1,119.0,3.0,2.0,0,4,9,36.70739,-4.4876877,1,1,2798.0,0.0,1.0,1,1
495000,0,1,80.0,2.0,2.0,0,0,13,36.724048,-4.4254243,0,0,6188.0,4.0,1.0,1,1
649000,0,1,177.0,4.0,3.0,0,2,7,36.7196987,-4.4083659,2,0,3667.0,2.0,1.0,0,0
659000,0,1,177.0,4.0,3.0,0,2,7,36.7196987,-4.4083659,2,0,3723.0,2.0,1.0,0,0
295000,0,1,66.0,3.0,1.0,0,0,3,36.7287765,-4.416325,0,0,4470.0,2.0,1.0,0,0
254000,0,1,80.0,3.0,1.0,0,3,21,36.6950348,-4.453209,0,0,3175.0,4.0,1.0,0,0
298000,0,1,91.0,4.0,2.0,0,0,2,36.7231678,-4.4278515,0,0,3275.0,4.0,1.0,0,0
1745000,3,1,612.0,8.0,5.0,0,2,29,36.7273684,-4.3530876,0,0,2851.0,0.0,0.0,1,1
735000,0,1,114.0,2.0,2.0,0,3,25,36.681168,-4.4505815,1,1,6447.0,0.0,1.0,1,1
725000,0,1,127.0,3.0,3.0,0,3,25,36.6816188,-4.4477968,1,1,5709.0,3.0,1.0,1,1
345000,0,1,96.0,3.0,2.0,0,0,2,36.7284065,-4.4298531,0,0,3594.0,9.0,1.0,0,0
550000,0,1,100.0,3.0,2.0,0,0,5,36.7156338,-4.4226543,0,0,5500.0,1.0,1.0,0,0
299000,0,1,91.0,3.0,1.0,0,0,3,36.7290998,-4.4153362,0,0,3286.0,4.0,1.0,0,0
389000,0,1,84.0,2.0,2.0,0,0,4,36.7110328,-4.4309435,0,0,4631.0,2.0,1.0,0,0
323000,0,1,111.0,2.0,2.0,0,0,33,36.729194,-4.4201779,0,0,2910.0,3.0,1.0,0,0
330000,0,1,90.0,3.0,1.0,0,0,3,36.7305795,-4.4147654,0,0,3667.0,10.0,1.0,0,0
210000,0,1,53.0,2.0,1.0,0,6,35,36.7238713,-4.4415342,0,0,3962.0,2.0,1.0,0,0
180000,0,1,83.0,3.0,1.0,0,0,45,36.7318662,-4.4119327,0,0,2169.0,4.0,0.0,0,0
109000,0,1,58.0,2.0,1.0,0,8,38,36.7418629,-4.4236269,0,0,1879.0,3.0,1.0,0,0
360000,1,1,168.0,2.0,2.0,0,4,53,36.7108451,-4.4541232,0,0,2143.0,6.0,1.0,0,0
380000,0,1,86.0,3.0,1.0,0,0,13,36.7268764,-4.4246148,0,0,4419.0,4.0,1.0,0,0
220000,0,1,56.0,2.0,1.0,0,6,44,36.7262109,-4.437018,0,0,3929.0,7.0,1.0,0,0
499900,0,1,111.0,3.0,2.0,0,2,7,36.7199032,-4.4070999,2,0,4504.0,0.0,1.0,1,1
217600,0,1,62.0,1.0,1.0,0,0,2,36.7228901,-4.4302347,0,0,3510.0,1.0,1.0,0,0
339000,0,1,125.0,3.0,1.0,0,4,36,36.7116776,-4.4359107,0,0,2712.0,0.0,1.0,1,1
319990,0,1,91.0,3.0,1.0,0,3,8,36.6910515,-4.4550303,0,0,3516.0,14.0,1.0,0,0
780000,0,1,116.0,2.0,2.0,0,2,47,36.7263349,-4.3877513,0,0,6724.0,3.0,0.0,0,0
1650000,3,1,330.0,5.0,4.0,0,2,27,36.7303562,-4.3860641,0,0,5000.0,0.0,0.0,1,1
139000,0,1,55.0,2.0,1.0,0,6,44,36.7267306,-4.4435792,2,0,2527.0,5.0,0.0,0,0
785000,0,1,127.0,3.0,2.0,0,2,32,36.73697,-4.39279,1,1,6181.0,0.0,1.0,1,1
200000,0,1,46.0,1.0,1.0,0,4,11,36.7194903,-4.4462273,0,0,4348.0,1.0,1.0,0,0
240000,0,1,73.0,3.0,1.0,0,3,21,36.6933459,-4.451108,0,0,3288.0,8.0,1.0,0,0
320000,0,1,98.0,2.0,2.0,0,4,11,36.7210987,-4.4476015,0,0,3265.0,3.0,1.0,0,0
450000,0,1,95.0,3.0,2.0,0,5,10,36.7224715,-4.4700929,0,0,4737.0,2.0,1.0,1,1
1190000,3,1,258.0,5.0,3.0,0,2,173,36.7212062,-4.3475412,0,0,4612.0,0.0,0.0,1,1
275000,0,1,80.0,3.0,1.0,0,3,41,36.7011645,-4.4473038,0,0,3438.0,5.0,1.0,0,0
