municipality,district,neighborhood
Málaga,Centro,Perchel norte
Málaga,Centro,Centro Histórico
Málaga,Centro,La Trinidad
Málaga,Centro,Centro Histórico
Málaga,Centro,Cristo de la Epidemia
Málaga,Centro,La Trinidad
Málaga,Centro,Perchel sur - El Bulto
Málaga,Centro,Ensanche Centro - Soho
Málaga,Puerto de la Torre,Puertosol - Santa Isabel
Málaga,Este,Malagueta - Monte Sancha
Málaga,Carretera de Cádiz,Puerta Blanca - Almudena
Málaga,Centro,Perchel sur - El Bulto
Málaga,Este,Malagueta - Monte Sancha
Málaga,Centro,Ensanche Centro - Soho
Málaga,Cruz de Humilladero,Polígonos - Recinto Ferial
Málaga,Centro,La Trinidad
Málaga,Teatinos,El Consul - El Romeral
Málaga,Cruz de Humilladero,Carranque - Haza Cuevas
Málaga,Centro,Perchel sur - El Bulto
Málaga,Carretera de Cádiz,La Princesa
Málaga,Centro,La Goleta - San Felipe Neri
Málaga,Cruz de Humilladero,Carranque - Haza Cuevas
Málaga,Centro,La Merced
Málaga,Centro,La Victoria
Málaga,Centro,Centro Histórico
Málaga,Bailén - Miraflores,Victoria Eugenia
Málaga,Carretera de Cádiz,Finca el Pato - Torre del Río
Málaga,Centro,Perchel norte
Málaga,Centro,Perchel sur - El Bulto
Málaga,Centro,Ensanche Centro - Soho
Málaga,Centro,Centro Histórico
Málaga,Bailén - Miraflores,Victoria Eugenia
Málaga,Carretera de Cádiz,Girón - Las Delicias - Pacífico
Málaga,Centro,Centro Histórico
Málaga,Centro,Centro Histórico
Málaga,Centro,Perchel norte
Málaga,Centro,Perchel norte
Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol
Málaga,Carretera de Cádiz,Huelin
Málaga,Carretera de Cádiz,La Luz
Málaga,Carretera de Cádiz,Los Guindos - Parque Mediterráneo - Santa Paula
Málaga,Cruz de Humilladero,Carranque - Haza Cuevas
Málaga,Este,Pedregalejo - Morlaco
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Centro,La Goleta - San Felipe Neri
Málaga,Centro,La Trinidad
Málaga,Carretera de Cádiz,Pacífico
Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad
Málaga,Este,Pedregalejo - Morlaco
Málaga,Carretera de Cádiz,Pacífico
Málaga,Centro,Centro Histórico
Málaga,Carretera de Cádiz,Pacífico
Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad
Málaga,Este,Cerrado de Calderón - Hacienda Paredes
Málaga,Teatinos,El Consul - El Romeral
Málaga,Centro,La Victoria
Málaga,Este,Malagueta - Monte Sancha
Málaga,Ciudad Jardín,Huerta Nueva - Jardín de Málaga
Málaga,Este,El Palo
Málaga,Este,El Palo
Málaga,Carretera de Cádiz,Pacífico
Málaga,Puerto de la Torre,El Atabal
Málaga,Centro,La Victoria
Málaga,Centro,Perchel sur - El Bulto
Málaga,Centro,El Ejido
Málaga,Centro,La Goleta - San Felipe Neri
Málaga,Este,El Palo
Málaga,Este,Limonar
Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad
Málaga,Centro,Centro Histórico
Málaga,Centro,La Merced
Málaga,Centro,Centro Histórico
Málaga,Centro,Centro Histórico
Málaga,Centro,Centro Histórico
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Este,Malagueta - Monte Sancha
Málaga,Centro,Centro Histórico
Málaga,Carretera de Cádiz,Huelin
Málaga,Teatinos,El Consul - El Romeral
Málaga,Centro,Ensanche Centro - Soho
Málaga,Centro,Cristo de la Epidemia
Málaga,Centro,La Merced
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Carretera de Cádiz,Girón - Las Delicias - Pacífico
Málaga,Centro,Centro Histórico
Málaga,Centro,Ensanche Centro - Soho
Málaga,Carretera de Cádiz,Huelin
Málaga,Este,Pedregalejo - Morlaco
Málaga,Centro,La Victoria
Málaga,Centro,Perchel sur - El Bulto
Málaga,Cruz de Humilladero,Camino de Antequera
Málaga,Centro,Perchel norte
Málaga,Este,Pedregalejo - Morlaco
Málaga,Carretera de Cádiz,Pacífico
Málaga,Centro,Centro Histórico
Málaga,Centro,La Victoria
Málaga,Carretera de Cádiz,Huelin
Málaga,Centro,Centro Histórico
Málaga,Centro,Perchel norte
Málaga,Centro,La Merced
Málaga,Centro,La Goleta - San Felipe Neri
Málaga,Centro,Ensanche Centro - Soho
Málaga,Teatinos,El Consul - El Romeral
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Bailén - Miraflores,La Florida - Parque norte
Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad
Málaga,Este,Malagueta - Monte Sancha
Málaga,Cruz de Humilladero,Carranque - Haza Cuevas
Málaga,Centro,Perchel norte
Málaga,Cruz de Humilladero,Cruz del Humilladero - Los Tilos
Málaga,Este,Limonar
Málaga,Carretera de Cádiz,Pacífico
Málaga,Carretera de Cádiz,Nuevo San Andrés - Dos Hermanas
Málaga,Centro,Centro Histórico
Málaga,Puerto de la Torre,El Atabal
Málaga,Carretera de Cádiz,Finca el Pato - Torre del Río
Málaga,Centro,Ensanche Centro - Soho
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Ciudad Jardín,Ciudad Jardín
Málaga,Centro,Centro Histórico
Málaga,Bailén - Miraflores,La Florida - Parque norte
Málaga,Carretera de Cádiz,Nuevo San Andrés - Dos Hermanas
Málaga,Cruz de Humilladero,Carranque - Haza Cuevas
Málaga,Este,El Palo
Málaga,Centro,Centro Histórico
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Carretera de Cádiz,Nuevo San Andrés - Dos Hermanas
Málaga,Centro,Centro Histórico
Málaga,Ciudad Jardín,Ciudad Jardín
Málaga,Bailén - Miraflores,Victoria Eugenia
Málaga,Centro,Olletas - Sierra Blanquilla
Málaga,Centro,La Victoria
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Este,Limonar
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Centro,Centro Histórico
Málaga,Este,Limonar
Málaga,Centro,Centro Histórico
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Carretera de Cádiz,Pacífico
Málaga,Este,Malagueta - Monte Sancha
Málaga,Centro,El Ejido
Málaga,Carretera de Cádiz,Puerta Blanca - Almudena
Málaga,Centro,Ensanche Centro - Soho
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Este,Pedregalejo - Morlaco
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Cruz de Humilladero,Camino de Antequera
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Centro,Centro Histórico
Málaga,Martiricos - La Roca,Martiricos - La Roca
Málaga,Centro,El Molinillo - Capuchinos
Málaga,Este,El Palo
Málaga,Carretera de Cádiz,La Luz
Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad
Málaga,Centro,Centro Histórico
Málaga,Centro,La Trinidad
Málaga,Centro,Cristo de la Epidemia
Málaga,Teatinos,El Tejar - Hacienda Bizcochero
Málaga,Teatinos,El Consul - El Romeral
Málaga,Teatinos,El Consul - El Romeral
Málaga,Puerto de la Torre,El Atabal
Málaga,Centro,Centro Histórico
